test_name,table_name,test_type,layer,run_date,mandate,column,total_score,rows_checked,passing_rows,failing_rows
,summary_profile,missing,silver,2025-09-29,global_required,zip,0.48345323741007196,4170,2016,2154
,summary_profile,missing,silver,2025-09-29,global_required,state,0.4594724220623501,4170,1916,2254
,summary_profile,missing,silver,2025-09-29,global_required,city,0.5256594724220623,4170,2192,1978
,summary_profile,missing,silver,2025-09-29,global_required,loaded_at,1.0,4170,4170,0
,summary_profile,missing,silver,2025-09-29,global_required,symbol,1.0,4170,4170,0
,summary_profile,duplicated,silver,2025-09-29,global_required,symbol,0.5,4170,2085,2085
,prices,outdated,silver,2025-09-30,global_required,date,0.113107688407175,94662,10707,83955
close <= low,prices,outside_of_rules,silver,2025-09-30,global_required,close,0.35689083264667976,94662,33784,60878
volumn too low (<10000),prices,outside_of_rules,silver,2025-09-30,global_required,volume,0.6562295324417401,94662,62120,32542
,prices,missing,silver,2025-09-30,global_required,volume,0.8077581289218483,94662,76464,18198
,prices,missing,silver,2025-09-30,global_required,close,0.9770340791447466,94662,92488,2174
high < low,prices,outside_of_rules,silver,2025-09-30,global_required,high,2.1127802074750163E-5,94662,2,94660
,prices,missing,silver,2025-09-30,global_required,high,0.9608079271513384,94662,90952,3710
,prices,missing,silver,2025-09-30,global_required,low,0.960765671547189,94662,90948,3714
,prices,type_mismatch,silver,2025-09-30,global_required,close,1.0,94662,94662,0
,prices,type_mismatch,silver,2025-09-30,global_required,volume,1.0,94662,94662,0
low > high,prices,outside_of_rules,silver,2025-09-30,global_required,low,2.1127802074750163E-5,94662,2,94660
,prices,type_mismatch,silver,2025-09-30,global_required,symbol,1.0,94662,94662,0
,prices,type_mismatch,silver,2025-09-30,global_required,high,1.0,94662,94662,0
,prices,type_mismatch,silver,2025-09-30,global_required,low,1.0,94662,94662,0
,prices,type_mismatch,silver,2025-09-30,global_required,date,1.0,94662,94662,0
,prices,missing,silver,2025-09-30,global_required,symbol,1.0,94662,94662,0
,prices,duplicated,silver,2025-09-30,global_required,symbol,0.022025733662927045,94662,2085,92577
,prices,duplicated,silver,2025-09-30,global_required,date,6.54961864317255E-4,94662,62,94600
,prices,missing,silver,2025-09-30,global_required,date,1.0,94662,94662,0
,summary_profile,missing,silver,2025-09-30,global_required,country,0.7318944844124701,4170,3052,1118
,summary_profile,missing,silver,2025-09-30,local_optional,address1,0.5256594724220623,4170,2192,1978
,summary_profile,missing,silver,2025-09-30,local_optional,industry,0.5880095923261391,4170,2452,1718
,summary_profile,missing,silver,2025-09-30,local_optional,address2,0.3160671462829736,4170,1318,2852
,summary_profile,missing,silver,2025-09-30,local_required,sector,0.5851318944844125,4170,2440,1730
,summary_profile,missing,silver,2025-09-30,local_required,BusinessSummary,0.5011990407673861,4170,2090,2080
,summary_profile,outdated,silver,2025-09-30,global_required,loaded_at,0.5,4170,2085,2085
,summary_profile,missing,silver,2025-09-30,global_required,loaded_at,1.0,4170,4170,0
,summary_profile,missing,silver,2025-09-30,global_required,state,0.4594724220623501,4170,1916,2254
,summary_profile,missing,silver,2025-09-30,global_required,city,0.5256594724220623,4170,2192,1978
,summary_profile,missing,silver,2025-09-30,global_required,zip,0.48345323741007196,4170,2016,2154
,summary_profile,missing,silver,2025-09-30,global_required,symbol,1.0,4170,4170,0
,summary_profile,duplicated,silver,2025-09-30,global_required,symbol,0.5,4170,2085,2085
,prices,outdated,silver,2025-10-01,global_required,date,0.0966174388878325,94662,9146,85516
volumn too low (<10000),prices,outside_of_rules,silver,2025-10-01,global_required,volume,0.6562295324417401,94662,62120,32542
,prices,missing,silver,2025-10-01,global_required,volume,0.8077581289218483,94662,76464,18198
close <= low,prices,outside_of_rules,silver,2025-10-01,global_required,close,0.35689083264667976,94662,33784,60878
,prices,missing,silver,2025-10-01,global_required,close,0.9770340791447466,94662,92488,2174
high < low,prices,outside_of_rules,silver,2025-10-01,global_required,high,2.1127802074750163E-5,94662,2,94660
,prices,missing,silver,2025-10-01,global_required,low,0.960765671547189,94662,90948,3714
,prices,missing,silver,2025-10-01,global_required,high,0.9608079271513384,94662,90952,3710
,prices,type_mismatch,silver,2025-10-01,global_required,volume,1.0,94662,94662,0
,prices,type_mismatch,silver,2025-10-01,global_required,close,1.0,94662,94662,0
,prices,type_mismatch,silver,2025-10-01,global_required,symbol,1.0,94662,94662,0
low > high,prices,outside_of_rules,silver,2025-10-01,global_required,low,2.1127802074750163E-5,94662,2,94660
,prices,type_mismatch,silver,2025-10-01,global_required,date,1.0,94662,94662,0
,prices,missing,silver,2025-10-01,global_required,symbol,1.0,94662,94662,0
,prices,type_mismatch,silver,2025-10-01,global_required,high,1.0,94662,94662,0
,prices,type_mismatch,silver,2025-10-01,global_required,low,1.0,94662,94662,0
,prices,missing,silver,2025-10-01,global_required,date,1.0,94662,94662,0
,prices,duplicated,silver,2025-10-01,global_required,date,6.54961864317255E-4,94662,62,94600
,summary_profile,missing,silver,2025-10-01,global_required,country,0.7318944844124701,4170,3052,1118
,prices,duplicated,silver,2025-10-01,global_required,symbol,0.022025733662927045,94662,2085,92577
,summary_profile,missing,silver,2025-10-01,local_optional,address1,0.5256594724220623,4170,2192,1978
,summary_profile,missing,silver,2025-10-01,local_required,sector,0.5851318944844125,4170,2440,1730
,summary_profile,missing,silver,2025-10-01,local_optional,address2,0.3160671462829736,4170,1318,2852
,summary_profile,missing,silver,2025-10-01,local_required,BusinessSummary,0.5011990407673861,4170,2090,2080
,summary_profile,missing,silver,2025-10-01,local_optional,industry,0.5880095923261391,4170,2452,1718
,summary_profile,missing,silver,2025-10-01,global_required,city,0.5256594724220623,4170,2192,1978
,summary_profile,outdated,silver,2025-10-01,global_required,loaded_at,0.5,4170,2085,2085
,summary_profile,missing,silver,2025-10-01,global_required,zip,0.48345323741007196,4170,2016,2154
,summary_profile,missing,silver,2025-10-01,global_required,state,0.4594724220623501,4170,1916,2254
,summary_profile,missing,silver,2025-10-01,global_required,loaded_at,1.0,4170,4170,0
,summary_profile,missing,silver,2025-10-01,global_required,symbol,1.0,4170,4170,0
,summary_profile,duplicated,silver,2025-10-01,global_required,symbol,0.5,4170,2085,2085
,prices,missing,silver,2025-10-02,global_required,volume,0.8077581289218483,94662,76464,18198
close <= low,prices,outside_of_rules,silver,2025-10-02,global_required,close,0.35689083264667976,94662,33784,60878
,prices,outdated,silver,2025-10-02,global_required,date,0.08011662546745262,94662,7584,87078
